Codigo;Descricao;Unidade
110569;TD,1F,7,967/0,24-0,12KV,25KVA,GST001;PEÇ
111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;PEÇ
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;PEÇ
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;PEÇ
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;PEÇ
111321;TD,3P,13.8-0.22/0.127kV,300KVA,GST01/909;PEÇ
111323;TD,1P,7.97-0.24/0.12kV,15KVA,GST01/903;PEÇ
111372;TRAFOTRIFÁSICO112,5KVA-ARECUPERAR;PEÇ
130866;PORTAFUSIVEL,15KV,TIPOC,100A,ET-277;;;;PEÇ
141233;RELIG,RD,3F,15kV,630A,12.5kA,MAT-20-0899;PEÇ
141264;SECCION,3F,SOBCARGA,24KV,630A,GSCM03/2;CDA
141283;SEC,PREF,CERCAFARP/LIS,2.60-3MM,D730.04;PEÇ
141296;SEC,UNIPOLAR,17,5KV,400A,350MM,D198.03;PEÇ
141297;SEC,UNIPOLAR,17,5KV,630A,350MM,D198.03;PEÇ
141467;SEC,UNIPOLAR,34.5KV,630A,1750MM,D198.03;PEÇ
141542;SECCIONADOR,S/LT,S/CARGA,3P,34.5;PEÇ
141980;RELIGADOR,1F,27KV,100A,OP.3F,NTE044/01;PEÇ
150763;SEC,UNIPOLAR,17,5KV,400A,438MM,D198.03;PEÇ
164521;LUVA,EMEND,ISOL,AL,BT,70MM2,PM-R720.24.0;PEÇ
164943;CRUZETA,POLIM,2400MM,RETANG,D315.01;PEÇ
165015;UPTELECONTROLPARAINSTALACIONEXTERIOR;CDA
170041;ELO,FUS,5A,H,GSCM012/64;PEÇ
170042;ELO,FUS,3A,H,GSCM012/63;PEÇ
170043;ELO,FUS,2A,H,GSCM012/62;PEÇ
170044;ELO,FUS,1A,H,GSCM012/61;PEÇ
170061;ELO,FUS,50A,K,GSCM012/32;PEÇ
170064;ELO,FUS,25A,K,GSCM012/29;CDA
170066;ELO,FUS,16A,K,GSCM012/27;CDA
170067;ELO,FUS,12,5A,K,GSCM012/26;PEÇ
170068;ELO,FUS,10A,K,GSCM012/25;CDA
170069;ELO,FUS,8A,K,GSCM012/24;PEÇ
170072;CH,FUS,36KV,E,LINEAR,8kA,GSCM012/6;PEÇ
170074;CH,FUS,24KV,E,LINEAR,8kA,GSCM012/2;PEÇ
170075;CH,FUS,24KV,D,LINEAR,8kA,GSCM012/1;PEÇ
171089;ELO,FUS,DISTRIB,15/36KV,1A,H;D138.01;UN
171091;ELO,FUS;BOT;15KV;3A;H;D13801.4;FP;UN
171093;ELO,FUS,DISTRIB,15/36KV,6A,K,D138.01;UN
171094;ELO,FUS,DISTRIB,15/36KV,8A,K,D138.01;UN
171096;ELO,FUS,DISTRIB,15/36KV,12A,K,D138.01;PEÇ
171110;ELOFUSÍVELTIPO1H,PM-0094I2R6;FP;PEÇ
171111;ELO,FUS,DISTRIB,15/36KV,2A,H;D138.01;PEÇ
171112;ELO,FUS,DISTRIB,15/36KV,3A,H,D138.01;PEÇ
171118;ELO,FUS,DISTRIB,15/36KV,15A,K,D138.01;PEÇ
171119;ELO,FUS,DISTRIB,15/36KV,25A,K,D138.01;PEÇ
171120;ELO,FUS,DISTRIB,15/36KV,40A,K,D138.01;PEÇ
171121;ELO,FUS,DISTRIB,15/36KV,50A,K,D138.01;PEÇ
171122;CHAVE,FUS,AZ,15KV,100A,C,POLIM,ET-277;PEÇ
171140;PORTAFUSIVELGRAMPOLINHAVIVA,D2256,FP;PEÇ
171218;CHAVE,FUS,AZ,27KV,100A,C,POLIM,ET-277;PEÇ
171297;PARA-RAIOS,ESTACAOPORC,CARBSILI;PEÇ
200207;GRAMPO,LINHAVIVA,TIPO1,D710.70;PEÇ
200250;SUPORTEL,ACOCARBONO,PM-BR410.35;PEÇ
201366;LUVA.EMENDA.COMPRES.4AWGCAA.D72016;PEÇ
201369;SUPORTE,ROLDANA,AZ,56X56MM,TUBO1.1/2;PEÇ
201383;CONEC,TERM,COMPR,AL,95MM2,2F,D71038;PEÇ
201385;ARRUELALIGADEALUMÍNIODED-1256;PEÇ
201387;HASTE,ANCORA,AZ,16X2400,PM-R44501;FP;PEÇ
201388;CONECTOR,TERM,COMPR,CU,70MM2,2F,D71048;PEÇ
201389;CONEC,TERM,COMPR,AL,50MM2,2F,D71038;PEÇ
201390;CONECTOR,TERM,COMPR,CU,50MM2,2F,D71048;PEÇ
201406;CONEC,TERM,COMPR,AL,25MM2,1F,D71038;PEÇ
201407;CONEC,TERM,COMPR,AL,150MM2,2F,D71038;PEÇ
201437;CONECTORTERM,CONDAL95MM,PM2251I3R0;PEÇ
201439;CONECTORCUNHAATERR,4-7,8MM,PM71040;PEÇ
201440;PINOTOPO,ISOLPILAR,AÇOGALV,PM-2162I2;PEÇ
201626;CONEC,CUN,AL,I10,D=27.02-31.22MM,D71054;PEÇ
230060;POSTE,CONC,CIRC,12/1000,GSS002/06;CDA
230061;POSTE,CONC,CIRC,12/600,GSS002/05;CDA
230062;POSTE,CONC,CIRC,12/300,GSS002/04;CDA
230064;POSTE,CONC,CIRC,10/600,GSS002/02;CDA
230065;POSTE,CONC,CIRC,10/300,GSS002/01;CDA
230210;POSTEFIBRA,12MX600,GSS004/19;PEÇ
230361;POSTEHA15MDMAD-0183/RECICLADO;PEÇ
230367;CRUZETA,POLIM,2000MM,RETAN,D315.01;CDA
231308;CRUZETA,MADEIRA5M,DED-1790R.2-UN;PEÇ
231332;CRUZETA,POLIM,2000MM,QUAD,D315.01;PEÇ
231385;CRUZETA,POLIM,5000MM,RETANG,D315.01;PEÇ
231389;CRUZETA,MADEIRA,NAOPRESERVADA24(DAN);PEÇ
231570;POSTE,FIBRA,BIP,9M,600DAN,D307.01;UN
240009;CRUZETA,ACO,2000MM,PMBR49009;PEÇ
240099;ARMAÇÃO;SEC;AZ;2ESTR;C/HASTE;D520.01.0;UN
240100;ARMACAO,SEC,AL,2ESTR,C/HASTE,D90511.1;UN
240116;ARMAÇÃO,SEC;AZ;1ESTR;C/HASTE;D520.01.0;PEÇ
240117;ARMAÇÃO;SEC;2ESTR;C/HASTE;DED-0035R4;FP;PEÇ
240118;MAOFRANCESAPERFILLGAL,993MM,PM1259I1;PEÇ
240119;MÃOFRANCESAPLANALIGAAL.DED-1260R.2;PEÇ
240120;MÃO,FRANCESA,AZ,PERFILADA,1534MM,D43001;PEÇ
240121;MÃO,FRANCESA,AZ,PERFILADA,993MM,D43001;PEÇ
240133;CINTA,DT,AL,180MM,D90420.0;PEÇ
250063;CINTALIGADEELODETECIDOSINTÉTICO-;PEÇ
250066;CRUZETA,AUXILIAR,64MMX2,83M;PEÇ
250075;SELAP/POSTECOMEXTENSORECOLAR64MM;PEÇ
250080;PARAFUSODESELA;RM4740;FERRONODULAR,;CDA
250081;CINTAPARAMÃOFRANCESA;PEÇ
251514;GRAPADESUSPENSIONPARACABLEDEGUARDA;PEÇ
251697;ALCA-OLHAL,PREF,LIGAAL,CAL,160MM2,D730.1;PEÇ
251714;SUPORTE,SUSP,CIRC,140-210MM,GSCC010;UN
251764;ALCA,DIST,ACO,PREF,4AWG,CAA,D730.14;UN
251767;ALCA,DIST,ACO,PREF,1/0AWG,CAA,D730.14;UN
251774;ALCA,PREF,DIST,CU-NU,70MM2,D73001,FPM;PEÇ
251777;ALCA,DISTRIB,CU-NU,35MM2,D73001,FPM;PEÇ
251786;LACO,PREF,AÇO,PRE-REUN,54.6MM2,D73006;UN
251791;SEC,PREF,CERCAFARP,3.26-4.11MM,D730.04;PEÇ
251797;OLHAL,AZ,5000DAN,M16,PM-BR/D41005.1;UN
251800;ARMACAO,SEC;AL;1ESTR;C/HASTE;D90510.1;PEÇ
251814;GANCHO-OLHAL,AZ,SUSP,5000DAN,D51004.0;UN
251817;MANILHA,SAPATILHA,AZ,5000DAN,D51003.0;UN
251825;FITADEALUMINO;1X10MM;D76002.1;PEÇ
251832;CINTA,P/POSTECIRC,150MM,D435.07;PEÇ
251833;CINTA,P/POSTECIRC,170MM,D435.07;PEÇ
251834;CINTA,P/POSTECIRC,190MM,D435.07;PEÇ
251835;CINTA,P/POSTECIRC,210MM,D435.07;PEÇ
251837;CINTA,P/POSTECIRC,330MM,D435.07;PEÇ
251838;SELAP/CRUZETA,AZ,116MM,58MM,D470.08;PEÇ
251839;SUPOR,TRAFO,POSTECIRC,225MM,TP1,D421.01;PEÇ
251840;SUP,TRAFO,DT,A=160MM,B=95MM,D421.02;PEÇ
251841;SUPORTE,L,AZ,CH.FUS/PR,198MM,D410.35;PEÇ
251842;SUP,TRAFO,DT,A=170MM,B=105MM,D421.02;PEÇ
251843;SUP,TRAFO,DT,A=180MM,B=115MM,D421.02;PEÇ
251846;CINTA,POSTEDT,AZ,215x65MM,D435.06;PEÇ
251850;CINTAPOSTECIRC.AL290MMPM-1257I15R3;PEÇ
251851;SELA,CRUZETALIGAALUMÍNIO,DED-1265R2;PEÇ
251852;SUPORTECH.C.CIRC/P.RAIOSALDED-1859;PEÇ
251853;CINTAAJUST.POSTE,BAP2,800MM-D1742I1,FP;PEÇ
